question-word,answer-word,guess-word,label
enormously,tremendously,appropriately,guess
provisions,stipulations,interrelations,guess
haphazardly,randomly,randomly,guess
prominent,conspicuous,ancient,guess
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,conceivably,guess
consumed,eaten,bred,guess
advent,coming,financing,guess
concisely,succinctly,positively,guess
salutes,greetings,greetings,guess
solitary,alone,fearless,guess
hasten,accelerate,permit,guess
perseverance,endurance,disturbance,guess
fanciful,imaginative,familiar,guess
showed,demonstrated,postponed,guess
constantly,continually,accidentally,guess
issues,subjects,benefits,guess
furnish,supply,advise,guess
costly,expensive,complicated,guess
recognized,acknowledged,welcomed,guess
spot,location,location,guess
make,earn,borrow,guess
often,frequently,hardly,guess
easygoing,relaxed,frontier,guess
debate,argument,argument,guess
narrow,thin,clear,guess
arranged,planned,studied,guess
infinite,limitless,structural,guess
showy,striking,prickly,guess
levied,imposed,requested,guess
deftly,skillfully,occasionally,guess
distribute,circulate,acknowledge,guess
discrepancies,differences,weights,guess
prolific,productive,capable,guess
unmatched,unequaled,emulated,guess
peculiarly,uniquely,suspiciously,guess
hue,color,contrast,guess
hind,rear,curved,guess
highlight,accentuate,accentuate,guess
hastily,hurriedly,chronologically,guess
temperate,mild,mild,guess
grin,smile,smile,guess
verbally,orally,overtly,guess
physician,doctor,nurse,guess
essentially,basically,basically,guess
keen,sharp,useful,guess
situated,positioned,emptying,guess
principal,major,numerous,guess
slowly,gradually,rarely,guess
built,constructed,proposed,guess
tasks,jobs,shops,guess
unlikely,improbable,disagreeable,guess
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,guess
wildly,furiously,mysteriously,guess
hailed,acclaimed,addressed,guess
command,mastery,observation,guess
concocted,devised,requested,guess
prospective,potential,potential,guess
generally,broadly,accurately,guess
sustained,prolonged,prolonged,guess
perilous,dangerous,dangerous,guess
tranquillity,peacefulness,harshness,guess
dissipate,disperse,photograph,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,conversational,guess
resolved,settled,forgotten,guess
feasible,possible,evident,guess
expeditiously,rapidly,frequently,guess
percentage,proportion,volume,guess
terminated,ended,ended,guess
uniform,alike,sharp,guess
figure,solve,solve,guess
sufficient,enough,recent,guess
fashion,manner,craze,guess
marketed,sold,diluted,guess
bigger,larger,closer,guess
roots,origins,function,guess
normally,ordinarily,ordinarily,guess
