question-word,answer-word,guess-word,label
enormously,tremendously,appropriately,guess
provisions,stipulations,interpretations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,outset,guess
flawed,imperfect,tiny,guess
urgently,desperately,conceivably,guess
consumed,eaten,bred,wrong
advent,coming,arrest,wrong
concisely,succinctly,freely,guess
salutes,greetings,privileges,guess
solitary,alone,fearless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,familiar,wrong
showed,demonstrated,demonstrated,correct
constantly,continually,rapidly,wrong
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,successful,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,frontier,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,striking,correct
levied,imposed,requested,guess
deftly,skillfully,occasionally,guess
distribute,circulate,research,wrong
discrepancies,differences,weights,guess
prolific,productive,promising,wrong
unmatched,unequaled,alienated,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,muscular,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,orally,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,unpopular,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,songs,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prudent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,guess
primarily,chiefly,cautiously,wrong
colloquial,conversational,misunderstood,guess
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,rapidly,guess
percentage,proportion,profit,wrong
terminated,ended,posed,guess
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,diluted,guess
bigger,larger,better,wrong
roots,origins,function,wrong
normally,ordinarily,permanently,guess
