question-word,answer-word,guess-word,label
enormously,tremendously,appropriately,guess
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,completion,guess
flawed,imperfect,lustrous,guess
urgently,desperately,typically,guess
consumed,eaten,bred,wrong
advent,coming,arrest,wrong
concisely,succinctly,positively,guess
salutes,greetings,information,guess
solitary,alone,restless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,logical,wrong
showed,demonstrated,demonstrated,correct
constantly,continually,rapidly,wrong
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,wrong
spot,location,latitude,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,farming,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,entertaining,wrong
levied,imposed,correlated,guess
deftly,skillfully,humorously,guess
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,guess
prolific,productive,productive,correct
unmatched,unequaled,unequaled,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,hairy,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,verbosely,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,customers,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,apathetically,guess
annals,chronicles,songs,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disperse,guess
primarily,chiefly,cautiously,wrong
colloquial,conversational,recorded,guess
resolved,settled,forgotten,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,actually,guess
percentage,proportion,volume,wrong
terminated,ended,posed,guess
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,periodically,guess
